Long,Lat
22.8583333333333,63.975
22.8166666666667,63.9833333333333
22.7916666666667,63.9666666666667
22.7833333333333,63.9583333333333
22.7666666666667,63.9583333333333
22.75,63.9416666666667
22.7416666666667,63.9416666666667
22.7166666666667,63.9333333333333
22.7083333333333,63.925
22.6916666666667,63.925
22.65,63.9166666666667
22.0666666666667,63.8583333333333
21.9416666666667,63.8166666666667
21.8916666666667,63.8
21.7666666666667,63.7583333333333
21.6416666666667,63.7166666666667
21.35,63.6583333333333
21.3416666666667,63.6583333333333
21.0916666666667,63.6083333333333
20.9666666666667,63.5833333333333
20.7166666666667,63.5333333333333
20.7,63.525
20.6916666666667,63.5166666666667
20.6833333333333,63.5
20.6166666666667,63.3
20.6,63.275
