Long,Lat
24.6916666666667,59.5083333333333
24.6083333333333,59.5
24.5583333333333,59.5166666666667
24.575,59.5416666666667
24.5666666666667,59.5416666666667
24.5666666666667,59.55
24.6,59.7166666666667
24.6083333333333,59.7416666666667
24.6,59.825
24.5833333333333,59.85
24.55,59.8916666666667
24.5416666666667,59.9
24.5083333333333,59.9416666666667
24.5166666666667,59.9666666666667
24.5333333333333,59.975
24.5416666666667,59.9833333333333
24.5583333333333,59.9916666666667
24.575,60.0166666666667
24.5916666666667,60.025
24.6,60.0333333333333
24.675,60.0833333333333
24.6916666666667,60.0916666666667
24.7333333333333,60.0833333333333
24.7833333333333,60.0833333333333
24.7916666666667,60.0916666666667
24.7916666666667,60.1083333333333
24.8333333333333,60.1166666666667
24.8583333333333,60.1166666666667
24.9,60.1083333333333
24.925,60.0916666666667
24.9416666666667,60.0916666666667
