Long,Lat,Speed
21.4916666666667,63.9916666666667,12.6189917883802
21.4833333333333,63.9083333333333,12.6189917883802
21.3833333333333,63.8583333333333,12.6189917883802
21.3166666666667,63.825,12.6189917883802
21.25,63.7916666666667,12.6189917883802
21,63.625,7.8071407701513
20.9583333333333,63.5916666666667,9.11365630768096
20.9333333333333,63.5666666666667,7.3128484750037
20.8666666666667,63.5333333333333,9.32857236492839
20.7833333333333,63.5166666666667,3.04520323778308
20.7333333333333,63.5,1.20697007934829
20.6916666666667,63.4916666666667,1.80020125893228
20.6666666666667,63.4833333333333,1.80020125893228
20.625,63.475,1.98026048690467
20.5583333333333,63.475,1.56016900053021
20.5166666666667,63.4833333333333,0.539092559586095
20.4916666666667,63.4916666666667,0.42667420594786
