Long,Lat
24.6916666666667,59.5083333333333
24.7,59.5916666666667
24.7,59.6
24.7166666666667,59.6083333333333
24.725,59.6166666666667
24.75,59.6333333333333
24.9,59.6833333333333
24.9416666666667,59.6916666666667
24.9666666666667,59.7
25.0083333333333,59.7083333333333
25.0916666666667,59.7166666666667
25.2166666666667,59.7416666666667
25.2416666666667,59.75
25.2833333333333,59.7583333333333
25.3,59.7666666666667
25.3166666666667,59.7916666666667
25.3166666666667,59.8
25.3083333333333,59.8833333333333
25.2833333333333,59.8916666666667
25.2833333333333,59.9
25.2916666666667,59.9083333333333
25.3333333333333,59.9166666666667
25.35,59.925
25.35,59.9333333333333
25.325,59.9416666666667
25.3166666666667,59.95
25.3,59.9583333333333
25.2916666666667,59.975
25.25,59.9833333333333
25.225,59.9916666666667
25.2166666666667,59.9916666666667
25.1916666666667,60
25.1083333333333,60.0083333333333
25.0916666666667,60.0083333333333
25.0083333333333,60.0166666666667
24.975,60.0166666666667
24.9333333333333,60.05
24.9416666666667,60.0916666666667
